trip_id,trip_no,column_index,route_id,direction,stop_id,stop_name,stop_order,scheduled_time
98_up_003,3,4,98_up,up,98069,とみぐすく南,69,07:26
98_up_003,3,4,98_up,up,98070,平和台北口,70,07:27
98_up_003,3,4,98_up,up,98071,宜保公民館前,71,07:28
98_up_003,3,4,98_up,up,98072,宜保,72,07:29
98_up_003,3,4,98_up,up,98073,豊見城中央病院前,73,07:31
98_up_003,3,4,98_up,up,98074,平和台団地入口,74,07:32
98_up_003,3,4,98_up,up,98075,我那覇,75,07:35
98_up_003,3,4,98_up,up,98076,伊良波,76,07:35
98_up_003,3,4,98_up,up,98077,座安入口,77,07:36
98_up_003,3,4,98_up,up,98078,与根入口,78,07:36
98_up_003,3,4,98_up,up,98079,翁長北,79,07:38
98_up_003,3,4,98_up,up,98080,豊崎入口,80,07:40
98_up_003,3,4,98_up,up,98081,アウトレットモールあしびなー前,81,07:41
98_up_003,3,4,98_up,up,98082,道の駅豊崎,82,07:42
98_up_003,3,4,98_up,up,98083,豊崎美らSUNビーチ前,83,0･:･･
98_up_004,4,5,98_up,up,98001,宜野湾営業所,1,0･:･･
98_up_004,4,5,98_up,up,98002,宜野湾高校前,2,0･:･･
98_up_004,4,5,98_up,up,98003,コンベンションセンター前,3,0･:･･
98_up_004,4,5,98_up,up,98004,ラグナガーデンホテル前,4,0･:･･
98_up_004,4,5,98_up,up,98005,県営大山住宅前,5,0･:･･
98_up_004,4,5,98_up,up,98006,老人ホ－ム愛誠園前,6,0･:･･
98_up_004,4,5,98_up,up,98007,市営伊佐住宅前,7,0･:･･
98_up_004,4,5,98_up,up,98008,宜野湾市農協前,8,0･:･･
98_up_004,4,5,98_up,up,98009,伊佐川,9,0･:･･
98_up_004,4,5,98_up,up,98010,喜友名,10,0･:･･
98_up_004,4,5,98_up,up,98011,新城,11,0･:･･
98_up_004,4,5,98_up,up,98012,普天間入口,12,0･:･･
98_up_004,4,5,98_up,up,98013,普天間,13,0･:･･
98_up_004,4,5,98_up,up,98014,普天間市場入口,14,0･:･･
98_up_004,4,5,98_up,up,98015,野嵩,15,0･:･･
98_up_004,4,5,98_up,up,98016,宜野湾市役所前,16,0･:･･
98_up_004,4,5,98_up,up,98017,上原,17,0･:･･
98_up_004,4,5,98_up,up,98018,中原,18,0･:･･
98_up_004,4,5,98_up,up,98019,赤道,19,0･:･･
98_up_004,4,5,98_up,up,98020,愛知,20,0･:･･
98_up_004,4,5,98_up,up,98021,宜野湾,21,0･:･･
98_up_004,4,5,98_up,up,98022,琉大北口駐車場,22,06:50
98_up_004,4,5,98_up,up,98023,志真志三丁目,23,06:51
98_up_004,4,5,98_up,up,98024,志真志ハイツ入口,24,06:52
98_up_004,4,5,98_up,up,98025,志真志住宅前,25,06:53
98_up_004,4,5,98_up,up,98026,長田,26,06:55
98_up_004,4,5,98_up,up,98032,沖縄国際大学入口,32,06:58
98_up_004,4,5,98_up,up,98033,沖縄国際大学前,33,06:59
98_up_004,4,5,98_up,up,98034,第一佐真下,34,07:00
98_up_004,4,5,98_up,up,98035,第二佐真下,35,07:02
98_up_004,4,5,98_up,up,98036,真栄原,36,07:04
